mouseid_session_phase_cue_date,Condition,#rewards,#entrances,RERatio,PTimeCenter,PTimeAnnulus,MeanSpeed,SESpeed,MeanTargSpeed,SETargSpeed,Speed2TargetR,SESpeed2TargetR,MeanX,SEX,MeanY,SEY,MeanScatX,SEScatX,MeanScatY,SEScatY,MeanAccScatX,SESAcccatX,MeanAccScatY,SESAcccatY,MeanPauseX,SEPauseX,MeanPauseY,SEPauseY,MeanScatPauseX,SEScatPauseX,MeanScatPauseY,SEScatPauseY,MeanAccPauseX,SESAccPauseX,MeanSAccPauseY,SESAccPauseY,MeanPauseAngle,SEPauseAngle,%TimeQuadNE,%TimeQuadNW,%TimeQuadSW,%TimeQuadSE,%TimeT1,%TimeT2,%TimeT3,%TimeT4,%GoalTime,%TimeG1NE,%TimeG2NW,%TimeG3SW,%TimeG4SE,FractalDimension
m56s11p7c_012725,,9,45,0.2,0.011467,0.66019,8.5156,0.030777,8.2459,0.87085,21.1189,0.65881,181.5928,3.5352,77.4701,3.5729,8.0212,2.1107,8.0212,2.1107,9,9,9,9,191.1428,0.58032,59.2654,0.51253,9,9,9,9,9,9,9,9,132.3817,0.38844,0.32477,0.26262,0.18067,0.23194,0.35366,0.2439,0.02439,0.46341,0.019173,0.014579,0.014319,0.0066873,0.011856,#N/A
m56s12p7c_020325,,7,58,0.12,0.0097605,0.63301,6.8004,0.030154,8.7064,0.79158,14.2405,0.6359,178.0266,4.4852,83.8361,4.2759,10.2071,1.6592,10.2071,1.6592,7,7,7,7,184.3536,0.64805,64.0557,0.66394,7,7,7,7,7,7,7,7,131.0081,0.41932,0.34049,0.27946,0.15867,0.22138,0.18,0.32,0.18,0.46,0.019873,0.02341,0.026578,0.0082233,0.0085752,#N/A
m56s12p7c_020725,,12,37,0.32,0.0058345,0.75254,6.0642,0.02996,7.9804,0.97893,14.314,0.99888,176.2197,2.9463,75.9426,3.2368,8.9738,1.1661,8.9738,1.1661,12,12,12,12,179.0366,0.49745,56.0067,0.34205,12,12,12,12,12,12,12,12,124.6318,0.31885,0.30178,0.31388,0.1832,0.20113,0.34483,0.34483,0.17931,0.17931,0.034896,0.02745,0.014151,0.0018152,0.0036304,#N/A
m56s12p7u_020725,,7,33,0.21,0.009669,0.71028,5.6936,0.030186,13.6329,1.271,24.5062,1.2525,175.1333,3.7598,80.1658,4.4106,7.6626,2.0857,7.6626,2.0857,7,7,7,7,183.7382,0.55487,51.8539,0.35288,7,7,7,7,7,7,7,7,125.8061,0.35026,0.36889,0.30039,0.17023,0.1605,0.32,0.18,0.6,0.04,0.026562,0.01869,0.0083909,0.0024636,0.0059644,#N/A
m56s13p8c_021425 ,,16,74,0.22,0.0078723,0.70589,10.2896,0.036862,12.0782,0.72173,18.0077,1.0049,76.0697,1.9043,75.1491,2.0299,5.952,1.1246,5.952,1.1246,16,16,16,16,199.3298,0.53829,50.1576,0.89568,16,16,16,16,16,16,16,16,134.0922,0.55873,0.25556,0.30604,0.20362,0.23478,0.38132,0.25681,0.31907,0.070039,0.044325,0.0085761,0.03536,0.016171,0.010817,#N/A
m56s13p8u_021425,,21,56,0.38,0.018393,0.6129,7.1011,0.030484,12.6441,0.80514,15.5476,0.88776,77.8466,1.9703,79.9085,1.7879,7.3808,1.0763,7.3808,1.0763,21,21,21,21,176.0654,0.5777,66.7777,0.52265,21,21,21,21,21,21,21,21,127.7822,0.4013,0.26494,0.30901,0.20719,0.21886,0.052036,0.3371,0.19457,0.43213,0.057549,0.021227,0.049769,0.0094464,0.01278,#N/A
m56s14p9c_022425,,26,73,0.36,0.0083904,0.63958,8.3265,0.033028,8.8126,0.61169,16.4871,1.0743,80.1037,1.6886,173.0919,1.5501,7.4624,0.78989,7.4624,0.78989,26,26,26,26,194.4903,0.39377,68.5685,0.81041,26,26,26,26,26,26,26,26,141.4806,0.46762,0.28759,0.21424,0.25838,0.23979,0.50222,0.27179,0.11817,0.11817,0.039044,0.0087053,0.023301,0.033506,0.0052788,#N/A
m56s14p9u_022425,,20,44,0.45,0.013464,0.62554,6.4116,0.029389,9.4737,0.99646,16.3578,1.0571,79.0126,1.2805,180.954,1.8014,4.6365,0.71287,4.6365,0.71287,20,20,20,20,185.1998,0.44695,56.6472,0.5733,20,20,20,20,20,20,20,20,130.2935,0.36803,0.35937,0.26045,0.23815,0.14203,0.20449,0.054863,0.30424,0.45387,0.048875,0.029392,0.013316,0.024095,0.0043893,#N/A
m56s15p10c_030525,,19,55,0.35,0.015169,0.60585,6.8054,0.031655,6.8913,0.54645,21.8996,0.93214,176.3789,1.8282,177.9807,2.3383,6.9212,0.82531,6.9212,0.82531,19,19,19,19,189.0149,0.56277,65.2222,0.63654,19,19,19,19,19,19,19,19,136.5153,0.4517,0.26523,0.29292,0.13941,0.30243,0.32044,0.16298,0.37293,0.16298,0.046749,0.01265,0.027394,0.011984,0.037118,#N/A
m56s15p10u_030525,,18,47,0.38,0.023304,0.62203,5.6801,0.028882,13.3781,1.1283,18.0882,1.178,178.7787,1.8873,180.7874,1.9004,5.8191,1.253,5.8191,1.253,18,18,18,18,199.4627,0.56689,55.6532,0.4744,18,18,18,18,18,18,18,18,134.6063,0.37819,0.26624,0.23686,0.20255,0.29434,0.28308,0.11692,0.44923,0.17231,0.03479,0.010578,0.018229,0.010559,0.025898,#N/A
m56s16p11u_031225,,9,24,0.38,0.0044461,0.71356,5.601,0.029421,16.0686,1.7413,15.3205,1.8091,175.9618,2.708,84.348,2.0592,5.8678,1.7404,5.8678,1.7404,9,9,9,9,186.6245,0.45391,71.1401,0.63191,9,9,9,9,9,9,9,9,137.9824,0.4333,0.31145,0.21176,0.13507,0.34172,0.13415,0.02439,0.46341,0.46341,0.029585,0.026973,0.01508,0.0097443,0.0059096,#N/A
