mouseid_session_phase_cue_date,Condition,#rewards,#entrances,RERatio,PTimeCenter,PTimeAnnulus,MeanSpeed,SESpeed,MeanTargSpeed,SETargSpeed,Speed2TargetR,SESpeed2TargetR,MeanX,SEX,MeanY,SEY,MeanScatX,SEScatX,MeanScatY,SEScatY,MeanAccScatX,SESAcccatX,MeanAccScatY,SESAcccatY,MeanPauseX,SEPauseX,MeanPauseY,SEPauseY,MeanScatPauseX,SEScatPauseX,MeanScatPauseY,SEScatPauseY,MeanAccPauseX,SESAccPauseX,MeanSAccPauseY,SESAccPauseY,MeanPauseAngle,SEPauseAngle,%TimeQuadNE,%TimeQuadNW,%TimeQuadSW,%TimeQuadSE,%TimeT1,%TimeT2,%TimeT3,%TimeT4,%GoalTime,%TimeG1NE,%TimeG2NW,%TimeG3SW,%TimeG4SE,FractalDimension
m41S10P4c_082724,,15,20,0.75,0.021466,0.48627,5.9642,0.030389,9.8832,1.4191,16.1026,0.84823,177.9836,3.2936,74.4225,3.9104,10.2071,1.8456,10.2071,1.8456,15,15,15,15,191.8249,0.916,55.2346,0.77578,15,15,15,15,15,15,15,15,131.1729,0.50058,0.17299,0.22546,0.33891,0.26265,0.34071,0.27434,0.27434,0.14159,0.011594,0.0097605,0.024966,0.046376,0.078306,#N/A
m41s11p5c_082824,,10,13,0.77,0.0091123,0.69663,5.0825,0.027683,7.3748,1.0684,13.6693,0.73643,183.1759,3.8369,72.0965,3.7843,9.6912,2.0704,9.6912,2.0704,10,10,10,10,195.7895,0.54823,60.958,0.77191,10,10,10,10,10,10,10,10,136.3781,0.52713,0.25092,0.13561,0.22473,0.38874,0.61386,0.21782,0.11881,0.11881,0.010835,0.0068713,0.010687,0.041135,0.0065194,#N/A
m41s12p5c_090424,,14,24,0.58,0.013685,0.7012,8.2501,0.033903,9.7439,1.1625,14.0085,0.69144,186.4125,3.1411,71.8691,3.1842,8.7615,1.9905,8.7615,1.9905,14,14,14,14,199.9877,0.49537,59.4896,0.83575,14,14,14,14,14,14,14,14,137.7079,0.50965,0.22364,0.23262,0.29597,0.24777,0.64975,0.15228,0.010152,0.22335,0.019499,0.012722,0.017777,0.017425,0.029073,#N/A
m41s13p5c_090524,,10,13,0.77,0.014891,0.75291,6.7034,0.031574,9.466,1.3995,17.7752,0.55969,176.6417,4.8273,81.3763,2.7422,13.7555,1.5096,13.7555,1.5096,10,10,10,10,197.4809,0.70021,61.2874,0.67443,10,10,10,10,10,10,10,10,136.7251,0.4614,0.19977,0.24655,0.29248,0.2612,0.11881,0.21782,0.41584,0.31683,0.018225,0.013465,0.013279,0.01678,0.013502,#N/A
m41s14p5c_090624,,16,27,0.59,0.013485,0.69195,8.4953,0.036643,11.1255,1.5792,15.3538,1.0424,180.4038,3.401,79.0893,2.9613,11.7512,1.5364,11.7512,1.5364,16,16,16,16,195.0765,0.75516,77.5184,1.0807,16,16,16,16,16,16,16,16,143.8744,0.71041,0.21117,0.28814,0.28547,0.21521,0.31907,0.19455,0.25681,0.25681,0.032195,0.031769,0.021543,0.024693,0.016931,#N/A
m41s15p6c_091024,,9,19,0.47,0.029191,0.61785,6.7476,0.03206,12.1852,2.0964,15.9556,0.5738,171.7404,4.1377,84.8366,3.5482,10.2076,2.024,10.2076,2.024,9,9,9,9,178.3356,0.87276,73.4597,0.7627,9,9,9,9,9,9,9,9,132.5108,0.36163,0.14653,0.21945,0.36815,0.26587,0.13415,0.02439,0.68293,0.2439,0.026579,0.025616,0.014318,0.021708,0.024561,#N/A
m41s16p6c_091224,,13,25,0.52,0.025244,0.59246,6.7359,0.033628,12.2981,1.7057,18.134,1.4819,176.96,2.9064,75.0937,3.2481,9.0446,1.2767,9.0446,1.2767,13,13,13,13,193.2239,0.73849,65.0626,1.179,13,13,13,13,13,13,13,13,138.3853,0.60446,0.18721,0.23015,0.32986,0.25278,0.39412,0.24118,0.31765,0.088235,0.025578,0.022614,0.022429,0.021596,0.030745,#N/A
m41s17p6c_091724,,6,25,0.24,0.0091684,0.83364,7.6722,0.037548,15.0926,2.2621,16.6366,0.85724,179.3379,5.5093,78.8646,4.2999,9.4489,3.535,9.4489,3.535,6,6,6,6,186.5379,0.92953,51.3621,0.90942,6,6,6,6,6,6,6,6,127.7617,0.73956,0.23308,0.26905,0.23419,0.26368,0.21622,0.37838,0.054054,0.54054,0.011039,0.009687,0.012299,0.012317,0.0070754,#N/A
m41s18p6cm_092424,,10,22,0.45,0.0078163,0.77505,7.3541,0.037749,13.5554,1.1105,23.2912,1.3255,173.362,3.1229,75.2302,4.3725,8.3736,1.4006,8.3736,1.4006,10,10,10,10,202.4322,0.69909,55.3426,0.7966,10,10,10,10,10,10,10,10,136.208,0.43065,0.16273,0.25112,0.34151,0.24464,0.31683,0.31683,0.31683,0.11881,0.02306,0.022226,0.014725,0.016485,0.0072236,#N/A
m41s19p6c_092624,,12,40,0.3,0.025394,0.66699,7.5797,0.036177,14.224,1.8115,16.761,1.0739,179.0406,4.5199,82.3122,3.0441,13.8019,1.7641,13.8019,1.7641,12,12,12,12,196.1092,0.75793,80.2103,0.8271,12,12,12,12,12,12,12,12,145.751,0.65458,0.24879,0.31681,0.24635,0.18806,0.26207,0.096552,0.42759,0.26207,0.027024,0.018207,0.039971,0.023097,0.019041,#N/A
m41s1p1c_080524,,49,49,1,0.29301,0.76585,6.8952,0.028194,15.283,0.96923,10.2374,0.30318,174.6078,5.9901,63.8331,7.4881,37.6089,2.5326,37.6089,2.5326,49,49,49,49,217.1802,0.67344,58.7507,1.082,49,49,49,49,49,49,49,49,142.8428,0.57301,0.21559,0.30299,0.29735,0.18407,0.00083264,0.55162,0.12323,0.32723,0.25021,0.26571,0.37767,0.43194,0.26636,#N/A
m41s20p6c_100124,,4,27,0.15,0.016059,0.74738,8.4128,0.036972,17.3657,2.2917,21.8848,0.70729,180.5609,4.094,77.6123,8.0216,6.8429,1.0733,6.8429,1.0733,4,4,4,4,195.8939,1.0654,52.2223,1.1085,4,4,4,4,4,4,4,4,132.5525,0.85832,0.21322,0.30637,0.28051,0.19989,0.35294,0.35294,0.35294,0.35294,0.012817,0.010965,0.020782,0.018503,0.012984,#N/A
m41s21p6c_100324,,4,23,0.17,0.026727,0.63121,8.0871,0.035226,17.3776,2.1511,21.1913,1.2086,177.3186,5.0433,68.8368,4.0112,7.4547,2.6288,7.4547,2.6288,4,4,4,4,202.5974,0.99511,62.08,1.231,4,4,4,4,4,4,4,4,139.0742,0.87579,0.15451,0.21602,0.42456,0.20491,0.35294,0.82353,0.11765,0.11765,0.010817,0.011521,0.01541,0.037951,0.030691,#N/A
m41s22p6c_100724,,6,29,0.21,0.019245,0.64884,9.3975,0.039878,19.0221,2.2084,17.9742,1.4404,179.2419,5.5866,75.816,4.7411,11.0779,2.5818,11.0779,2.5818,6,6,6,6,180.3346,1.4702,62.0152,0.75544,6,6,6,6,6,6,6,6,125.5585,0.95141,0.17217,0.30124,0.36207,0.16452,0.54054,0.054054,0.37838,0.21622,0.014485,0.013374,0.026636,0.018356,0.014077,#N/A
m41s23p6c_100924,,7,21,0.33,0.015094,0.67919,9.1154,0.038127,16.9541,2.053,16.107,0.72913,181.2655,3.9595,78.9056,5.1967,8.1488,2.1471,8.1488,2.1471,7,7,7,7,185.1228,1.7491,51.8935,0.8334,7,7,7,7,7,7,7,7,125.1672,1.0992,0.19773,0.29048,0.27168,0.24012,0.46,0.04,0.32,0.32,0.012057,0.010501,0.028688,0.016706,0.023558,#N/A
m41s24p6c_101024,,12,34,0.35,0.019001,0.67503,6.6093,0.030993,12.0661,1.2416,13.397,0.61846,173.2249,3.4731,82.8937,3.891,10.2194,1.6025,10.2194,1.6025,12,12,12,12,191.0125,0.63599,64.0529,0.59795,12,12,12,12,12,12,12,12,134.2301,0.39043,0.24819,0.28358,0.21012,0.2581,0.26207,0.17931,0.42759,0.17931,0.028242,0.026168,0.026834,0.021242,0.023538,#N/A
m41s25p6c_101124,,23,54,0.43,0.021425,0.66768,8.7683,0.034517,12.0936,1.0844,16.889,0.75923,176.9252,2.476,78.7053,3.1103,10.7612,0.93109,10.7612,0.93109,23,23,23,23,177.2669,0.91773,62.0131,0.79222,23,23,23,23,23,23,23,23,125.7973,0.53408,0.30501,0.26116,0.22405,0.20979,0.30755,0.26415,0.17736,0.26415,0.050572,0.038739,0.022425,0.016666,0.012592,#N/A
m41s26p7Cu_101424,,20,86,0.23,0.0071681,0.65941,9.854,0.035871,12.0591,0.53166,15.3394,0.84136,177.9625,2.3463,80.7269,1.8428,9.2566,0.99765,9.2566,0.99765,20,20,20,20,189.0726,0.6738,81.366,0.99972,20,20,20,20,20,20,20,20,144.3928,0.68441,0.32308,0.30849,0.19782,0.17061,0.20449,0.20449,0.25436,0.35411,0.051473,0.044713,0.0074089,0.0042231,0.0035563,#N/A
m41s26p7u_101424,,26,66,0.39,0.014948,0.64695,7.397,0.032647,12.1205,0.75713,19.2777,0.71291,179.8411,1.734,78.4912,1.7194,7.5144,0.86486,7.5144,0.86486,26,26,26,26,194.8958,0.60299,69.0774,0.56401,26,26,26,26,26,26,26,26,138.0047,0.45855,0.35022,0.27413,0.19603,0.17962,0.3486,0.11817,0.27179,0.27179,0.045604,0.042807,0.014041,0.0046679,0.0056496,#N/A
m41s27p8c_101824,,31,96,0.32,0.0067056,0.60343,8.9462,0.033082,11.0974,0.53475,17.9403,0.68437,79.275,1.757,76.7887,1.2545,8.4747,0.8326,8.4747,0.8326,31,31,31,31,187.0646,0.62596,74.0081,0.82719,31,31,31,31,31,31,31,31,140.2489,0.6265,0.16519,0.38939,0.28897,0.15645,0.38877,0.13098,0.22765,0.25988,0.061424,0.017709,0.052829,0.0060202,0.010299,#N/A
m41s27p8u_101824,,13,52,0.25,0.018726,0.70157,7.6642,0.033979,14.232,1.0023,16.8601,0.75449,77.8366,1.7705,72.7353,2.1109,4.8791,1.0728,4.8791,1.0728,13,13,13,13,196.6473,0.74287,60.7581,0.83278,13,13,13,13,13,13,13,13,136.0199,0.63178,0.22319,0.31017,0.26338,0.20326,0.39412,0.24118,0.16471,0.24118,0.040859,0.0077422,0.037914,0.0082978,0.008057,#N/A
m41s28p9c_102324,,25,85,0.29,0.011782,0.58929,9.1649,0.035494,10.0437,0.55847,20.7945,0.51097,78.2323,1.5682,176.4815,1.965,6.5197,0.82963,6.5197,0.82963,25,25,25,25,189.7691,0.80421,76.5645,0.90533,25,25,25,25,25,25,25,25,142.6602,0.68945,0.228,0.22224,0.32607,0.22369,0.40256,0.24281,0.20288,0.16294,0.058019,0.014116,0.012782,0.030492,0.0099663,#N/A
m41s28p9u_102324,,18,46,0.39,0.002945,0.64071,6.5531,0.033785,14.0573,1.1196,12.5778,0.5173,74.9556,1.7873,178.4394,1.9196,6.2044,0.96438,6.2044,0.96438,18,18,18,18,194.1178,0.54669,63.8594,0.48258,18,18,18,18,18,18,18,18,135.7589,0.33552,0.22052,0.30483,0.29794,0.1767,0.11692,0.44923,0.11692,0.33846,0.0376,0.022115,0.011984,0.0089461,0.006779,#N/A
m41s29p10c_102824,,33,101,0.33,0.013613,0.56054,8.9534,0.036246,10.9797,0.53401,17.7123,0.66627,177.718,1.3352,178.9088,1.4996,6.5923,0.65163,6.5923,0.65163,33,33,33,33,182.487,0.83437,69.2753,0.89314,33,33,33,33,33,33,33,33,132.6856,0.66213,0.24557,0.26068,0.19001,0.30374,0.18349,0.24404,0.24404,0.33486,0.058841,0.014076,0.011353,0.010483,0.027448,#N/A
m41s29p10u_102824,,17,43,0.4,0.011113,0.59457,6.8578,0.032312,10.502,1.1349,20.5942,0.64972,175.0368,1.7645,177.6684,2.2951,5.7361,1.0281,5.7361,1.0281,17,17,17,17,192.8748,0.77492,62.6988,1.0124,17,17,17,17,17,17,17,17,137.6026,0.60455,0.23748,0.27704,0.25196,0.23352,0.12414,0.35862,0.3,0.24138,0.039821,0.011965,0.012835,0.016965,0.019021,#N/A
m41s2p2c_080624,,15,25,0.6,0.073304,0.66377,4.8034,0.022777,10.643,1.1137,9.6443,0.82152,179.1694,6.9321,69.2193,5.9209,22.209,3.5809,22.209,3.5809,15,15,15,15,198.287,1.4153,43.7872,0.58519,15,15,15,15,15,15,15,15,127.5017,0.65256,0.15122,0.34321,0.3602,0.14537,0.47345,0.20796,0.20796,0.14159,0.026565,0.031233,0.10735,0.13453,0.045794,#N/A
m41s30p11c_110424,,30,67,0.45,0.024154,0.67518,7.4017,0.032242,8.7258,0.49864,14.0928,0.4377,177.8611,1.8025,79.9291,1.6847,8.4697,0.88055,8.4697,0.88055,30,30,30,30,193.2745,0.43542,69.5545,0.5902,30,30,30,30,30,30,30,30,140.424,0.39952,0.35296,0.24797,0.18914,0.20994,0.23529,0.13541,0.33518,0.30189,0.055254,0.030563,0.0091318,0.0067794,0.004038,#N/A
m41s30p11u_110424,,16,57,0.28,0.010798,0.64288,6.1105,0.029852,9.3925,0.62734,12.924,0.70614,177.0799,1.8103,81.5018,2.4014,5.7262,1.0447,5.7262,1.0447,16,16,16,16,189.6472,0.53588,57.0003,0.66701,16,16,16,16,16,16,16,16,133.2584,0.47061,0.36095,0.20325,0.22571,0.21008,0.070039,0.25681,0.31907,0.38132,0.031689,0.030245,0.017299,0.026596,0.0064823,#N/A
m41s31p12c_110724,,32,66,0.48,0.0097805,0.72922,7.7103,0.034005,8.3695,0.54332,17.5033,0.95792,76.3356,1.3047,80.2892,1.6179,6.121,0.70269,6.121,0.70269,32,32,32,32,194.2249,0.89799,62.4302,1.023,32,32,32,32,32,32,32,32,135.6968,0.77055,0.18757,0.31409,0.29873,0.19961,0.22049,0.18927,0.37659,0.22049,0.044586,0.011688,0.034991,0.011225,0.010151,#N/A
m41s31p12u_110724,,13,49,0.27,0.0098913,0.76344,6.9665,0.032416,11.2391,1.0712,23.201,0.61654,75.2151,1.5525,74.8297,1.8597,4.6775,0.76612,4.6775,0.76612,13,13,13,13,190.0413,0.78166,55.715,0.60493,13,13,13,13,13,13,13,13,130.116,0.40624,0.19623,0.29285,0.29972,0.2112,0.16471,0.54706,0.088235,0.24118,0.026414,0.024747,0.026914,0.0035935,0.0045752,#N/A
m41s32p13c_111224,,33,84,0.39,0.0076866,0.71654,9.9455,0.035492,10.7967,0.55151,15.6449,0.52728,75.4618,1.4434,182.4034,1.3314,6.9437,0.75948,6.9437,0.75948,33,33,33,33,188.5461,0.83058,58.0989,0.61302,33,33,33,33,33,33,33,33,130.369,0.47583,0.23447,0.27066,0.30493,0.18994,0.12294,0.092661,0.42569,0.36514,0.056066,0.0080756,0.0064827,0.018596,0.0047787,#N/A
m41s32p13u_111224,,26,54,0.48,0.014595,0.73975,7.3117,0.033842,12.0767,0.9652,15.5191,0.52734,77.3853,1.7644,177.4047,1.5142,7.0441,1.0623,7.0441,1.0623,26,26,26,26,183.2599,1.0092,66.903,0.93401,26,26,26,26,26,26,26,26,132.9069,0.6877,0.17768,0.30396,0.3413,0.17705,0.23338,0.27179,0.19498,0.31019,0.03634,0.006316,0.018059,0.012632,0.0030561,#N/A
m41s33p14c_111424,,33,76,0.43,0.019689,0.58066,8.9547,0.035056,9.6107,0.53929,16.5942,0.44105,177.4791,1.8177,179.1706,1.2012,9.4002,0.73675,9.4002,0.73675,33,33,33,33,179.5564,0.68024,65.6392,0.74194,33,33,33,33,33,33,33,33,131.0938,0.5809,0.20578,0.25677,0.22539,0.31206,0.15321,0.24404,0.33486,0.27431,0.052269,0.0090758,0.008835,0.011576,0.030432,#N/A
m41s33p14u_111424,,21,64,0.33,0.0094832,0.63277,7.8936,0.034398,11.6712,0.67232,15.704,0.65963,177.4479,1.9222,178.1086,1.8409,7.2893,1.0189,7.2893,1.0189,21,21,21,21,194.6721,0.60582,64.3747,0.61855,21,21,21,21,21,21,21,21,136.0885,0.46806,0.22302,0.21986,0.22069,0.33643,0.28959,0.3371,0.24208,0.14706,0.039063,0.018763,0.014336,0.0069272,0.02419,#N/A
m41s3p3c_080724,,5,6,0.83,0.019541,0.74032,4.07,0.022129,6.9606,1.1926,19.4257,1.099,186.5056,6.4019,71.5662,6.434,9.9144,4.0511,9.9144,4.0511,5,5,5,5,209.3012,0.82729,60.7456,0.98849,5,5,5,5,5,5,5,5,140.2454,0.55125,0.14173,0.22827,0.33029,0.29971,0.46154,0.26923,0.076923,0.46154,0.0041305,0.0027043,0.028246,0.046621,0.041823,#N/A
m41s4p3c_080824,,14,17,0.82,0.030208,0.64112,5.7161,0.027322,9.398,2.316,17.8466,0.38527,175.7791,4.6872,71.5488,4.3758,14.3676,2.4679,14.3676,2.4679,14,14,14,14,189.6743,1.986,70.7393,1.509,14,14,14,14,14,14,14,14,133.8781,1.5354,0.17113,0.3358,0.31819,0.17487,0.43655,0.29442,0.29442,0.010152,0.012224,0.011242,0.032597,0.048377,0.016391,#N/A
m41s5p3c_080924,,5,7,0.71,0.019244,0.58404,5.1483,0.028245,8.3272,1.4621,28.7971,1.3004,178.9786,6.9989,75.099,7.4027,12.4223,3.2258,12.4223,3.2258,5,5,5,5,209.7673,0.46312,41.128,1.286,5,5,5,5,5,5,5,5,134.332,0.66725,0.11665,0.20805,0.44,0.2353,0.26923,0.26923,0.26923,0.46154,0.0044267,0.0034635,0.019651,0.092108,0.020411,#N/A
m41s6p3c_081324,,6,9,0.67,0.063286,0.43276,6.3618,0.029065,9.9785,2.2438,15.5214,0.53712,181.0003,6.4667,81.1798,5.6847,13.0382,2.7964,13.0382,2.7964,6,6,6,6,151.001,0.55032,104.4166,0.46662,6,6,6,6,6,6,6,6,134.5029,0.89278,0.10911,0.28254,0.41113,0.19723,0.37838,0.21622,0.37838,0.21622,0.0044265,0.0036486,0.045858,0.097309,0.027244,#N/A
m41s7p3c_081424,,5,10,0.5,0.019077,0.60372,8.2586,0.035215,18.671,3.614,17.3821,0.76377,185.429,4.7534,67.7403,7.0055,8.5705,2.0569,8.5705,2.0569,5,5,5,5,219.1393,0.91044,97.9208,3.368,5,5,5,5,5,5,5,5,163.7664,1.8291,0.158,0.29875,0.35565,0.1876,0.65385,0.26923,0.076923,0.26923,0.012187,0.011168,0.048785,0.068918,0.013354,#N/A
m41s8p3c_081524,,11,15,0.73,0.030299,0.54627,7.7967,0.035348,15.4169,2.768,18.6949,0.9505,185.0584,4.313,67.0462,3.1085,11.5627,2.2875,11.5627,2.2875,11,11,11,11,210.7926,2,60.925,2.1721,11,11,11,11,11,11,11,11,141.7185,1.1497,0.12712,0.38565,0.34657,0.14066,0.55738,0.28689,0.016393,0.19672,0.010816,0.0076118,0.057579,0.039318,0.017557,#N/A
m41s9p3c_081624,,15,16,0.94,0.078154,0.56447,6.5653,0.031393,10.6775,1.786,20.261,0.70208,171.0373,3.5017,78.465,3.2886,11.0205,1.8939,11.0205,1.8939,15,15,15,15,178.2017,1.6093,69.5016,1.8131,15,15,15,15,15,15,15,15,133.2657,1.0021,0.15251,0.21866,0.3709,0.25793,0.14159,0.27434,0.47345,0.14159,0.027076,0.02778,0.022242,0.067542,0.051948,#N/A
m42s10p7c_082724,,5,58,0.09,0.020966,0.47084,9.2309,0.033527,9.2119,0.82091,NaN,NaN,178.5267,2.4556,76.9583,6.5314,4.0317,1.4023,4.0317,1.4023,5,5,5,5,177.4584,0.73513,65.6911,0.90329,5,5,5,5,5,5,5,5,131.5537,0.72089,0.28542,0.34922,0.23732,0.12804,0.46154,0.26923,0.26923,0.26923,0.019744,0.018281,0.026856,0.022967,0.011983,#N/A
m42s11p7c_082824,,21,81,0.26,0.010131,0.55266,8.834,0.0317,7.6381,0.47782,14.1911,0.61988,177.5823,2.0063,78.6594,1.8188,7.8396,0.97595,7.8396,0.97595,21,21,21,21,176.9129,0.69626,61.2917,0.65511,21,21,21,21,21,21,21,21,126.0864,0.53057,0.34944,0.31166,0.16404,0.17486,0.3371,0.28959,0.099548,0.28959,0.050489,0.04697,0.020262,0.0078715,0.0080938,#N/A
m42s11p7u_082824,,19,68,0.28,0.021447,0.45324,6.7943,0.033258,13.9773,0.95047,18.672,1.6325,177.2507,1.4767,79.3647,2.5234,5.2273,0.81408,5.2273,0.81408,19,19,19,19,185.3116,0.40032,70.3878,0.418,19,19,19,19,19,19,19,19,135.8031,0.32755,0.3554,0.24222,0.23809,0.1643,0.16298,0.32044,0.21547,0.32044,0.0546,0.044747,0.015854,0.0086493,0.009316,#N/A
m42s12p8c_090424,,30,103,0.29,0.0086849,0.54542,8.8246,0.031342,8.6781,0.51436,14.238,0.49216,76.9318,1.4116,76.676,1.6873,6.5158,0.72706,6.5158,0.72706,30,30,30,30,181.8918,0.63651,67.7881,0.77476,30,30,30,30,30,30,30,30,134.0631,0.57112,0.23821,0.40391,0.21442,0.14346,0.202,0.33518,0.13541,0.33518,0.069553,0.033702,0.059776,0.017166,0.011388,#N/A
m42s12p8u_090424,,12,40,0.3,0.011722,0.54569,5.6653,0.0289,12.695,0.98928,12.4442,0.52439,76.724,2.4591,73.3875,2.3974,6.6051,1.4426,6.6051,1.4426,12,12,12,12,190.5529,0.46743,69.6311,0.47578,12,12,12,12,12,12,12,12,137.8262,0.3739,0.37924,0.22967,0.19306,0.19804,0.34483,0.42759,0.096552,0.17931,0.034111,0.022333,0.039981,0.0063519,0.0061852,#N/A
m42s13p9c_090624,,21,91,0.23,0.0067235,0.65427,9.5764,0.033901,10.52,0.48029,16.5833,0.37911,75.8212,1.4753,178.2287,1.1065,5.752,0.72264,5.752,0.72264,21,21,21,21,191.9629,0.66312,66.0997,0.7155,21,21,21,21,21,21,21,21,136.8651,0.56877,0.28518,0.27009,0.27963,0.1651,0.28959,0.24208,0.19457,0.28959,0.052084,0.020504,0.013151,0.019411,0.0038526,#N/A
m42s13p9u_090624,,13,64,0.2,0.015484,0.55607,9.0593,0.036052,15.3694,1.0639,14.7721,0.78781,79.9257,1.6385,179.8539,2.2975,5.0121,0.76898,5.0121,0.76898,13,13,13,13,177.9887,0.73579,52.4602,0.61674,13,13,13,13,13,13,13,13,123.714,0.4296,0.29513,0.27116,0.27487,0.15884,0.16471,0.24118,0.16471,0.47059,0.038748,0.024505,0.016725,0.019115,0.013391,#N/A
m42s14p10c_091024,,16,103,0.16,0.0096677,0.5683,11.3168,0.039836,12.8771,0.58549,19.0525,0.8006,179.6878,1.5914,176.8451,1.7121,5.1251,0.884,5.1251,0.884,16,16,16,16,162.4369,1.0618,80.914,0.86643,16,16,16,16,16,16,16,16,123.832,0.91665,0.21817,0.31733,0.21606,0.24844,0.25681,0.25681,0.19455,0.31907,0.046098,0.023151,0.025725,0.016113,0.026855,#N/A
m42s14p10u_091024,,6,54,0.11,0.016464,0.57344,10.2332,0.042572,22.7895,1.3548,20.7771,1.3126,183.6233,3.9718,175.3012,1.6585,7.9499,1.7706,7.9499,1.7706,6,6,6,6,191.9796,0.38039,62.1111,0.57547,6,6,6,6,6,6,6,6,136.7565,0.35634,0.31134,0.29197,0.2045,0.19218,0.7027,0.21622,0.21622,0.054054,0.017742,0.025799,0.017557,0.012316,0.012872,#N/A
m42s15p11c_091224,,25,116,0.22,0.017467,0.52983,10.2864,0.038714,11.0739,0.51525,18.829,1.0738,177.9912,1.952,78.0863,1.5702,8.0159,1.0644,8.0159,1.0644,25,25,25,25,181.9163,0.58475,71.8262,0.71458,25,25,25,25,25,25,25,25,134.7017,0.4944,0.34718,0.24788,0.21212,0.19282,0.24281,0.24281,0.16294,0.36262,0.060197,0.051937,0.013484,0.016374,0.015225,#N/A
m42s15p11u_091224,,16,79,0.2,0.02243,0.56359,9.6404,0.041156,16.9443,1.0191,19.4217,0.74742,178.25,2.2622,80.1871,2.3878,7.0025,1.3596,7.0025,1.3596,16,16,16,16,179.8002,0.51979,56.1466,0.65354,16,16,16,16,16,16,16,16,127.1085,0.38799,0.31432,0.26318,0.21202,0.21048,0.25681,0.19455,0.070039,0.50584,0.039489,0.040378,0.016873,0.022189,0.013984,#N/A
m42s16p12c_091924,,33,123,0.27,0.014835,0.58868,12.208,0.038959,11.8194,0.40553,19.5485,0.61239,78.4445,1.3103,77.6345,1.3507,6.0702,0.75189,6.0702,0.75189,33,33,33,33,192.7321,1.1687,67.5688,1.6621,33,33,33,33,33,33,33,33,137.517,0.94451,0.21389,0.34822,0.23686,0.20102,0.21376,0.24404,0.18349,0.36514,0.07236,0.017391,0.062174,0.008964,0.0084454,#N/A
m42s16p12u_091924,,10,70,0.14,0.019096,0.57737,10.2956,0.038429,15.1129,0.83102,17.9895,0.49065,82.1234,2.9845,80.71,2.7501,7.69,1.5286,7.69,1.5286,10,10,10,10,185.7111,0.92107,70.5019,0.84416,10,10,10,10,10,10,10,10,134.7265,0.74659,0.26669,0.36402,0.21216,0.15712,0.31683,0.11881,0.21782,0.41584,0.031116,0.020392,0.034265,0.0087422,0.0078532,#N/A
m42s17p13c_092424,,31,104,0.3,0.016003,0.5969,11.4315,0.038681,12.7952,0.55332,17.0911,0.5548,76.5044,1.4852,178.3982,1.0597,6.79,0.81793,6.79,0.81793,31,31,31,31,190.1863,0.92557,60.3379,0.57837,31,31,31,31,31,31,31,31,131.7679,0.64541,0.21956,0.28663,0.30714,0.18667,0.2921,0.22765,0.2921,0.19543,0.058475,0.015707,0.019374,0.026116,0.011965,#N/A
m42s17p13u_092424,,16,73,0.22,0.030263,0.46862,10.188,0.038012,16.9918,0.91008,19.578,0.77167,76.3761,2.4908,178.7154,1.7685,7.9886,1.3963,7.9886,1.3963,16,16,16,16,186.8352,0.58754,75.3039,0.73525,16,16,16,16,16,16,16,16,139.6626,0.47225,0.22257,0.24964,0.3053,0.22249,0.19455,0.38132,0.19455,0.25681,0.036394,0.02267,0.014076,0.032467,0.0099457,#N/A
m42s18p14c_092524,,35,118,0.3,0.013391,0.56198,11.8395,0.038149,13.363,0.4936,19.7296,0.53443,176.3305,1.081,175.9473,1.2408,5.0978,0.63581,5.0978,0.63581,35,35,35,35,180.7821,0.87929,58.0847,0.66201,35,35,35,35,35,35,35,35,126.6745,0.61446,0.22785,0.2651,0.23289,0.27416,0.25856,0.42985,0.17292,0.14437,0.068048,0.022911,0.026097,0.013762,0.037877,#N/A
m42s18p14u_092524,,19,70,0.27,0.024615,0.51084,8.3087,0.037715,14.9952,0.81954,18.8186,0.57057,174.5625,1.7092,180.6548,1.6129,6.0477,0.94304,6.0477,0.94304,19,19,19,19,190.2769,0.60765,81.9152,0.63093,19,19,19,19,19,19,19,19,144.246,0.48454,0.23398,0.20133,0.23521,0.32948,0.058011,0.16298,0.53039,0.26796,0.039414,0.01604,0.0059825,0.022615,0.020929,#N/A
m42s1p1c_080524,,49,49,1,0.28042,0.77181,6.5697,0.027461,17.1778,1.0752,10.1551,0.39144,169.6444,5.8787,63.7597,6.8885,34.0155,3.2333,34.0155,3.2333,49,49,49,49,212.6786,0.60042,54.874,1.0264,49,49,49,49,49,49,49,49,140.2607,0.53776,0.24286,0.28747,0.28431,0.18536,0.00083264,0.47002,0.26603,0.26603,0.2619,0.2959,0.38543,0.40277,0.26427,#N/A
m42s2p2c_080624,,31,36,0.86,0.055939,0.79245,4.6324,0.022111,10.9681,0.96047,12.6208,0.37197,181.9609,4.3813,68.178,4.3432,20.3546,2.3206,20.3546,2.3206,31,31,31,31,183.3926,1.0222,55.297,0.54944,31,31,31,31,31,31,31,31,123.9665,0.52148,0.24939,0.32123,0.25025,0.17914,0.421,0.19543,0.1632,0.22765,0.08352,0.067331,0.042325,0.04603,0.035157,#N/A
